,station_id,year,avg_ridership
494,40280,2001,59875.0
495,40280,2002,57151.0
496,40280,2003,57063.0
497,40280,2004,55222.0
498,40280,2005,56836.0
499,40280,2006,60678.0
500,40280,2007,59488.0
501,40280,2008,66371.0
502,40280,2009,63915.0
503,40280,2010,63414.0
504,40280,2011,62231.0
505,40280,2012,63935.0
506,40280,2013,60818.0
507,40280,2014,62017.0
508,40280,2015,62579.0
509,40280,2016,53975.0
510,40280,2017,51854.0
511,40280,2018,52206.0
512,40280,2019,49387.0
513,40290,2001,44925.0
514,40290,2002,44669.0
515,40290,2003,44352.0
516,40290,2004,45220.0
517,40290,2005,45339.0
518,40290,2006,48950.0
519,40290,2007,46749.0
520,40290,2008,44236.0
521,40290,2009,40295.0
522,40290,2010,39292.0
523,40290,2011,41047.0
524,40290,2012,41533.0
525,40290,2013,61556.0
526,40290,2014,39945.0
527,40290,2015,36899.0
528,40290,2016,31391.0
529,40290,2017,30569.0
530,40290,2018,28569.0
531,40290,2019,25158.0
532,40300,2001,16215.0
533,40300,2002,16198.0
534,40300,2003,15687.0
535,40300,2004,15610.0
536,40300,2005,15682.0
537,40300,2006,18100.0
538,40300,2007,20534.0
539,40300,2008,22078.0
540,40300,2009,21653.0
541,40300,2010,22533.0
542,40300,2011,23694.0
543,40300,2012,24649.0
544,40300,2013,30928.0
545,40300,2014,26208.0
546,40300,2015,24761.0
547,40300,2016,22657.0
548,40300,2017,22237.0
549,40300,2018,21103.0
550,40300,2019,19330.0
551,40310,2001,78098.0
552,40310,2002,76868.0
553,40310,2003,76722.0
554,40310,2004,76419.0
555,40310,2005,80533.0
556,40310,2006,85590.0
557,40310,2007,84503.0
558,40310,2008,87126.0
559,40310,2009,82133.0
560,40310,2010,81765.0
561,40310,2011,85498.0
562,40310,2012,92142.0
563,40310,2013,96236.0
564,40310,2014,107815.0
565,40310,2015,111250.0
566,40310,2016,100180.0
567,40310,2017,96592.0
568,40310,2018,93283.0
569,40310,2019,90769.0
570,40320,2001,108837.0
571,40320,2002,109358.0
572,40320,2003,109410.0
573,40320,2004,110721.0
574,40320,2005,116289.0
575,40320,2006,120351.0
576,40320,2007,108862.0
577,40320,2008,123517.0
578,40320,2009,117718.0
579,40320,2010,132312.0
580,40320,2011,146005.0
581,40320,2012,154460.0
582,40320,2013,159431.0
583,40320,2014,171692.0
584,40320,2015,165958.0
585,40320,2016,160778.0
586,40320,2017,155948.0
587,40320,2018,156848.0
588,40320,2019,144654.0
589,40330,2001,241041.0
590,40330,2002,250919.0
591,40330,2003,264395.0
592,40330,2004,257925.0
593,40330,2005,274312.0
594,40330,2006,290414.0
595,40330,2007,243544.0
596,40330,2008,225726.0
597,40330,2009,268255.0
598,40330,2010,271498.0
599,40330,2011,292523.0
600,40330,2012,314496.0
601,40330,2013,319141.0
602,40330,2014,348737.0
603,40330,2015,362469.0
604,40330,2016,358557.0
605,40330,2017,338124.0
606,40330,2018,323871.0
607,40330,2019,315003.0
608,40340,2001,90546.0
609,40340,2002,95374.0
610,40340,2003,93622.0
611,40340,2004,90427.0
612,40340,2005,89910.0
613,40340,2006,90935.0
614,40340,2007,84907.0
615,40340,2008,88807.0
616,40340,2009,89465.0
617,40340,2010,91541.0
618,40340,2011,91154.0
619,40340,2012,78426.0
620,40340,2013,86634.0
621,40340,2014,98414.0
622,40340,2015,98191.0
623,40340,2016,96605.0
624,40340,2017,91178.0
625,40340,2018,88621.0
626,40340,2019,84463.0
627,40350,2001,95275.0
628,40350,2002,112506.0
629,40350,2003,116563.0
630,40350,2004,113749.0
631,40350,2005,117915.0
632,40350,2006,118084.0
633,40350,2007,107184.0
634,40350,2008,117247.0
635,40350,2009,111705.0
636,40350,2010,121798.0
637,40350,2011,137794.0
638,40350,2012,143879.0
639,40350,2013,142942.0
640,40350,2014,141259.0
641,40350,2015,139734.0
642,40350,2016,143796.0
643,40350,2017,141914.0
644,40350,2018,143518.0
645,40350,2019,144087.0
646,40360,2001,64131.0
647,40360,2002,62799.0
648,40360,2003,66760.0
649,40360,2004,64502.0
650,40360,2005,67892.0
651,40360,2006,70516.0
652,40360,2007,16784.0
653,40360,2008,59276.0
654,40360,2009,76419.0
655,40360,2010,74808.0
656,40360,2011,78563.0
657,40360,2012,84175.0
658,40360,2013,86988.0
659,40360,2014,88378.0
660,40360,2015,86893.0
661,40360,2016,93850.0
662,40360,2017,94820.0
663,40360,2018,93573.0
664,40360,2019,90411.0
665,40370,2001,216944.0
666,40370,2002,222102.0
667,40370,2003,218168.0
668,40370,2004,227053.0
669,40370,2005,242292.0
670,40370,2006,209963.0
671,40370,2007,176489.0
672,40370,2008,179513.0
673,40370,2009,164832.0
674,40370,2010,194585.0
675,40370,2011,213718.0
676,40370,2012,233844.0
677,40370,2013,264659.0
