Date,Price
"Sep 24, 2012",4.173
"Oct 01, 2012",4.068
"Oct 08, 2012",4.059
"Oct 15, 2012",3.925
"Oct 22, 2012",3.728
"Oct 29, 2012",3.641
"Nov 05, 2012",3.585
"Nov 12, 2012",3.623
"Nov 19, 2012",3.613
"Nov 26, 2012",3.635
"Dec 03, 2012",3.559
"Dec 10, 2012",3.541
"Dec 17, 2012",3.387
"Dec 24, 2012",3.375
"Dec 31, 2012",3.448
"Jan 07, 2013",3.37
"Jan 14, 2013",3.41
"Jan 21, 2013",3.48
"Jan 28, 2013",3.539
"Feb 04, 2013",3.843
"Feb 11, 2013",3.93
"Feb 18, 2013",4.061
"Feb 25, 2013",4.017
"Mar 04, 2013",3.991
"Mar 11, 2013",3.889
"Mar 18, 2013",3.938
"Mar 25, 2013",4.014
"Apr 01, 2013",4.052
"Apr 08, 2013",3.926
"Apr 15, 2013",3.823
"Apr 22, 2013",4.038
"Apr 29, 2013",4.135
"May 06, 2013",4.185
"May 13, 2013",4.235
"May 20, 2013",4.262
"May 27, 2013",4.147
"Jun 03, 2013",4.294
"Jun 10, 2013",4.421
"Jun 17, 2013",4.312
"Jun 24, 2013",4.085
"Jul 01, 2013",3.912
"Jul 08, 2013",3.826
"Jul 15, 2013",4.091
"Jul 22, 2013",4.15
"Jul 29, 2013",4.03
"Aug 05, 2013",3.974
"Aug 12, 2013",3.834
"Aug 19, 2013",3.76
"Aug 26, 2013",3.796
"Sep 02, 2013",3.879
"Sep 09, 2013",3.834
"Sep 16, 2013",3.777
"Sep 23, 2013",3.721
"Sep 30, 2013",3.632
"Oct 07, 2013",3.557
"Oct 14, 2013",3.568
"Oct 21, 2013",3.561
"Oct 28, 2013",3.482
"Nov 04, 2013",3.458
"Nov 11, 2013",3.32
"Nov 18, 2013",3.396
"Nov 25, 2013",3.464
"Dec 02, 2013",3.385
"Dec 09, 2013",3.341
"Dec 16, 2013",3.381
"Dec 23, 2013",3.464
"Dec 30, 2013",3.515
"Jan 06, 2014",3.539
"Jan 13, 2014",3.521
"Jan 20, 2014",3.519
"Jan 27, 2014",3.516
"Feb 03, 2014",3.484
"Feb 10, 2014",3.581
"Feb 17, 2014",3.649
"Feb 24, 2014",3.726
"Mar 03, 2014",3.873
"Mar 10, 2014",3.885
"Mar 17, 2014",3.941
"Mar 24, 2014",3.9
"Mar 31, 2014",3.955
"Apr 07, 2014",4.011
"Apr 14, 2014",4.139
"Apr 21, 2014",4.081
"Apr 28, 2014",4.097
"May 05, 2014",4.033
"May 12, 2014",3.934
"May 19, 2014",3.943
"May 26, 2014",3.985
"Jun 02, 2014",4.125
"Jun 09, 2014",4.082
"Jun 16, 2014",4.161
"Jun 23, 2014",4.068
"Jun 30, 2014",4.016
"Jul 07, 2014",3.94
"Jul 14, 2014",3.842
"Jul 21, 2014",3.766
"Jul 28, 2014",3.669
"Aug 04, 2014",3.708
"Aug 11, 2014",3.677
"Aug 18, 2014",3.748
"Aug 25, 2014",3.673
"Sep 01, 2014",3.759
"Sep 08, 2014",3.835
"Sep 15, 2014",3.752
"Sep 22, 2014",3.657
"Sep 29, 2014",3.671
"Oct 06, 2014",3.583
"Oct 13, 2014",3.497
"Oct 20, 2014",3.357
"Oct 27, 2014",3.311
"Nov 03, 2014",3.208
"Nov 10, 2014",3.194
"Nov 17, 2014",3.176
"Nov 24, 2014",3.076
"Dec 01, 2014",3.014
"Dec 08, 2014",2.875
"Dec 15, 2014",2.739
"Dec 22, 2014",2.556
"Dec 29, 2014",2.396
"Jan 05, 2015",2.264
"Jan 12, 2015",2.226
"Jan 19, 2015",2.184
"Jan 26, 2015",2.195
"Feb 02, 2015",2.345
"Feb 09, 2015",2.458
"Feb 16, 2015",2.538
"Feb 23, 2015",2.506
"Mar 02, 2015",2.616
"Mar 09, 2015",2.558
"Mar 16, 2015",2.49
"Mar 23, 2015",2.902
"Mar 30, 2015",2.929
"Apr 06, 2015",2.799
"Apr 13, 2015",2.71
"Apr 20, 2015",2.781
"Apr 27, 2015",2.869
"May 04, 2015",2.968
"May 11, 2015",2.902
"May 18, 2015",2.987
"May 25, 2015",3.135
"Jun 01, 2015",3.268
"Jun 08, 2015",3.177
"Jun 15, 2015",3.295
"Jun 22, 2015",3.198
"Jun 29, 2015",3.103
